"""No (Text)""","""Marga (Text)""","""Marga (Link)""","""Angkola (Text)""","""Karo (Text)""","""Mandailing (Text)""","""Pakpak (Text)""","""Simalungun (Text)""","""Toba (Text)""","""Keterangan (Text)""","""Description"""
"""1""","""Ajartambun""","""https://id.wikipedia.org/w/index.php?title=Ajartambun&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Ginting""","""Failed to fetch page"""
"""2""","""Ambarita""","""https://id.wikipedia.org/wiki/Ambarita""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Ambarita (Surat Batak: ᯀᯔ᯲ᯅᯒᯪᯖ) adalah salah satu marga Batak Toba yang berasal dari Simanindo, Samosir. Marga Ambarita merupakan salah satu marga dalam Kelompok Naimarata atau Borbor Marsada dari keturunan Silau Raja (putra kelima dari Guru Tatea Bulan)."""
"""3""","""Angkat""","""https://id.wikipedia.org/wiki/Angkat""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Angkat dapat mengacu pada hal ini:"""
"""4""","""Aritonang""","""https://id.wikipedia.org/wiki/Aritonang""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Aritonang (Surat Batak: ᯀᯒᯪᯖᯬᯉᯰ ) adalah salah satu marga Batak Toba yang berasal dari Desa Aritonang, Kecamatan Muara, Kabupaten Tapanuli Utara. Marga Aritonang merupakan keturunan dari Toga Aritonang, anak keenam dari Si Raja Lontung."""
"""5""","""Aruan""","""https://id.wikipedia.org/wiki/Aruan""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Aruan (Surat Batak: ᯀᯒᯮᯀᯉ᯲
) adalah salah satu marga Batak Toba yang berasal dari Laguboti, Toba. Aruan bersaudara dengan Hutahaean dan Hutajulu yang merupakan tiga anak dari Raja Pangulu Ponggok Naiborngin, turunan dari Raja Sipaettua. Selain itu marga Aruan mengikat janji (marpadan) sebagai seibu (saina) dengan marga Sitorus."""
"""6""","""Babiat""","""https://id.wikipedia.org/w/index.php?title=Babiat&action=edit&redlink=1""","""T""","""T""","""Y""","""T""","""T""","""T""","""""","""Failed to fetch page"""
"""7""","""Babo""","""https://id.wikipedia.org/wiki/Babo""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Ginting""","""Babo dapat mengacu pada hal ini:"""
"""8""","""Bako""","""https://id.wikipedia.org/wiki/Bako""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Naibaho (Surat Batak: ᯉᯤᯅᯂᯬ) merupakan salah satu marga Batak Toba yang berasal dari Pangururan, Samosir. Marga Naibaho merupakan keturunan dari Baho Raja, anak sulung dari Siraja Oloan."""
"""9""","""Bancin""","""https://id.wikipedia.org/wiki/Bancin""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Bancin (Surat Batak: ᯅᯉ᯲ᯘᯉᯪ᯲) adalah salah satu marga Batak Pakpak yang berasal dari daerah Pananggalan, Tanoh Simsim. Leluhur marga Bancin adalah Permesawari, putri satu-satunya dari Mpu Bada yang berasal dari daerah Tanoh Sindeas. Selain Bancin, keturunan Permesawari lainnya adalah marga Boangmanalu."""
"""10""","""Banjarnahor""","""https://id.wikipedia.org/wiki/Banjarnahor""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Marbun""","""Banjar Nahor (Surat Batak: ᯅᯉ᯲ᯐᯒ᯲ ᯉᯂᯒᯬ᯲; disebut juga sebagai Marbun Banjarnahor) adalah salah satu marga Batak Toba yang masuk ke dalam kelompok marga-marga keturunan Naipospos."""
